GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP16,GPIO16
GP17,GPIO17
GP18,GPIO18
GP19,GPIO19
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP23,GPIO23
GP24,GPIO24
GP25,GPIO25
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
GP29,GPIO29
ERROR_LED,GPIO0
STATUS_LED,GPIO1
LED,GPIO1
RS485_TX1,GPIO2
RS485_RX1,GPIO3
RS485_TX2,GPIO4
RS485_RX2,GPIO5
PSRAM_CS,GPIO7
IN1,GPIO18
IN2,GPIO19
IN3,GPIO20
IN4,GPIO21
OUT1,GPIO22
OUT2,GPIO23
OUT3,GPIO24
OUT4,GPIO25
